Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/09-16-080-19W6/00,SHELL CANADA LIMITED,1125302,0,187550,3083,514,5060,7639,2016,2154,57,38,Ball and Seat ,0.90,1884,SW,350.4
102/09-14-082-20W6/00,CREW ENERGY INC.,655585,565,109829,1791,300,4126,7642,2016,2051,76,27,Ball and Seat ,0.60,1201,SW,484.3
103/01-23-080-18W6/00,TOURMALINE OIL CORP.,543387,3397,93961,1485,257,4080,7642,2015,1269,45,28,Ball and Seat ,1.60,1992,SW,322.5
100/12-19-080-18W6/00,SHELL CANADA LIMITED,1471174,63,245259,4031,672,4632,7644,2009,1950,279,7,Plug and Perf,0.50,1059,WB,877.2
100/08-16-080-19W6/00,SHELL CANADA LIMITED,954771,0,159129,2616,436,4945,7644,2016,2055,93,22,Ball and Seat ,0.50,916,SW,382.2
100/16-32-079-17W6/00,OVINTIV CANADA ULC,554553,8665,101090,1519,277,4629,7644,2018,2311,105,22,Plug and Perf,0.80,1952,SW,371.2
100/08-07-080-15W6/00,TOURMALINE OIL CORP.,872096,347,145697,2389,399,3733,7646,2017,3697,195,19,Ball and Seat ,0.30,1160,SW,321.9
102/14-21-080-17W6/02,OVINTIV CANADA ULC,280639,14992,61765,769,169,4178,7646,2018,1765,104,17,Plug and Perf,1.70,3048,SW,764.5
102/05-32-079-17W6/00,OVINTIV CANADA ULC,2058817,28704,371840,5641,1019,4297,7649,2018,1719,96,18,Plug and Perf,1.70,2857,SW,620.0
105/02-04-081-17W6/00,OVINTIV CANADA ULC,1816805,78226,381027,4964,1041,4719,7649,2019,2560,99,26,Plug and Perf,1.80,4490,SW,599.7
102/13-34-081-20W6/00,CREW ENERGY INC.,1546062,138,257815,4236,706,3770,7649,2016,1337,74,18,Ball and Seat ,0.90,1150,SW,412.9
100/03-28-079-14W6/00,ARC RESOURCES LTD.,1199078,9,199855,3285,548,3534,7649,2017,1430,159,9,Plug and Perf,1.40,1945,SW,850.2
103/04-29-080-17W6/00,OVINTIV CANADA ULC,448563,37419,112180,1229,307,4588,7649,2018,2161,86,25,Plug and Perf,1.70,3632,SW,811.5
100/14-28-080-20W6/00,SHELL CANADA LIMITED,1149270,0,191545,3149,525,4375,7651,2010,1838,306,6,Plug and Perf,0.60,1150,SW,870.6
100/06-06-080-17W6/00,OVINTIV CANADA ULC,2491347,24633,439857,6826,1205,4140,7654,2018,1672,98,17,Plug and Perf,1.50,2542,SW,499.1
100/13-26-080-15W6/00,TOURMALINE OIL CORP.,1234728,24,205812,3383,564,3614,7654,2017,1315,41,32,Ball and Seat ,1.30,1727,SW,293.3
100/14-07-081-17W6/00,OVINTIV CANADA ULC,885854,82542,230184,2427,631,3604,7654,2018,1406,78,18,Plug and Perf,1.70,2450,SW,592.9
103/13-17-081-18W6/00,CANADIAN NATURAL RESOURCES LIMITED,1109922,0,184987,3033,505,5420,7656,2019,3048,117,26,Plug and Perf,1.50,4610,SW,890.4
100/10-27-077-17W6/00,MURPHY OIL COMPANY LTD.,950660,0,158443,2605,434,4562,7656,2010,1578,113,14,Ball and Seat ,0.40,650,SW,153.6
100/05-31-081-17W6/00,CREW ENERGY INC.,123195,18509,39041,338,107,3112,7656,2012,1037,61,17,Ball and Seat ,1.00,1020,SW,461.8
102/12-35-081-20W6/00,CANADIAN NATURAL RESOURCES LIMITED,2396492,0,399415,6566,1094,5913,7658,2018,3697,60,62,Ball and Seat/Plug and Perf,1.40,5162,SW,732.2
100/12-25-077-17W6/00,MURPHY OIL COMPANY LTD.,1312582,0,218764,3596,599,4535,7658,2014,1404,100,14,Ball and Seat ,1.00,1400,SW,653.5
