Unique Well ID,Region,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo Monthly WTR  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
102/16-01-080-18W6/00,south_graben,OVINTIV CANADA ULC,2280646,37589,417697,48451,6231,1141,3863,8014,2019,1210,110,11,Plug and Perf,2,2446.9,SW,700.3
102/13-05-081-20W6/00,south_graben,SHELL CANADA LIMITED,2277972,32,379694,78641,6241,1040,4585,7303,2017,2118,54,39,Ball and Seat ,0.9,1928.9,SW,229.4
102/13-05-080-17W6/00,south_graben,OVINTIV CANADA ULC,2276673,44739,424184,103078,6238,1162,4085,7661,2018,1575,99,16,Plug and Perf,3,4718,SW,980
102/03-09-079-17W6/00,south_graben,OVINTIV CANADA ULC,2273830,2907,381879,48965,6213,1043,4432,7747,2015,1789,112,16,Plug and Perf,2.7,4908.3,SW,1422.2
102/08-06-079-14W6/00,south_graben,ARC RESOURCES LTD.,2257702,424,376707,14245,6186,1032,5008,7190,2018,2537,85,30,Plug and Perf,1.8,4512.3,SW,655.9
100/14-26-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2236463,991,373735,9635,6111,1021,3511,3550,2012,1292,68,19,Ball and Seat/Plug and Perf,1,1240,SW,333
100/04-34-077-15W6/00,south_graben,OVINTIV CANADA ULC,2234655,14330,386773,14064,6106,1057,5335,8030,2015,2803,187,15,Ball and Seat/Plug and Perf,0.8,2345,SW,658.1
100/11-26-078-17W6/00,south_graben,OVINTIV CANADA ULC,2231544,7757,379681,51470,6114,1040,6500,4097,2015,3714,120,31,Ball and Seat/Plug and Perf,1.3,4975.2,SW,877.2
100/08-35-079-17W6/00,south_graben,OVINTIV CANADA ULC,2229273,4977,376523,21564,6108,1032,4240,5482,2014,1882,157,12,Plug and Perf,1.5,2820,SW,909.2
103/11-07-080-18W6/00,south_graben,SHELL CANADA LIMITED,2227765,8,371302,37731,6104,1017,4910,7812,2018,2193,41,53,Ball and Seat/Coil Tubing,1.3,2922.2,SW,273.4
100/12-12-077-15W6/00,south_graben,OVINTIV CANADA ULC,2223461,67603,438180,26619,6092,1201,6300,7610,2014,3446,119,29,Ball and Seat/Plug and Perf,1.2,4220.7,SW,1109.2
103/05-09-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2220703,0,370117,59970,6084,1014,5318,7433,2018,2453,53,46,Ball and Seat ,1,2496.7,SW,299.1
100/05-16-079-17W6/02,south_graben,OVINTIV CANADA ULC,2215932,657,369979,18779,6071,1014,4358,7884,2014,1767,196,9,Plug and Perf,1.6,2734.9,SW,1034.3
102/05-08-081-20W6/00,south_graben,SHELL CANADA LIMITED,2213032,0,368839,98074,6063,1011,5364,7334,2016,2821,54,52,Ball and Seat/Coil Tubing,0.9,2568,SW,305.4
102/10-36-077-17W6/00,south_graben,MURPHY OIL COMPANY LTD.,2196893,0,366149,28124,6019,1003,5655,7714,2017,2803,97,29,Plug and Perf,1.5,4233,SW,844.8
102/06-36-079-18W6/00,south_graben,OVINTIV CANADA ULC,2192129,14695,380049,34618,6006,1041,4399,8035,2017,1975,132,15,Plug and Perf,1.4,2786,SW,703.1
100/05-05-081-20W6/00,south_graben,SHELL CANADA LIMITED,2189107,0,364851,79999,5998,1000,4493,7111,2017,1983,54,37,Ball and Seat ,0.9,1841.8,SW,268.8
102/11-32-079-17W6/00,south_graben,OVINTIV CANADA ULC,2166223,26940,387978,61817,5935,1063,4610,8352,2018,2188,91,24,Plug and Perf,1.7,3780,SW,567.9
102/01-10-077-17W6/00,south_graben,TOURMALINE OIL CORP.,2166194,0,361032,0,5935,989,4511,6658,2014,1487,60,25,Ball and Seat ,1,1438.1,SW,414.6
102/01-11-080-18W6/00,south_graben,TOURMALINE OIL CORP.,2162730,31641,392096,23689,5925,1074,3930,6970,2014,1296,50,26,Ball and Seat ,1.2,1505,SW,329.8
100/03-17-079-14W6/00,south_graben,ARC RESOURCES LTD.,2154654,1086,360194,13623,5903,987,5160,7085,2017,2696,87,31,Plug and Perf,2.4,6556.5,SW,885
100/12-34-077-15W6/00,south_graben,OVINTIV CANADA ULC,2152146,38745,397436,41162,5880,1086,5148,7178,2015,2493,119,21,Plug and Perf,2.7,6839.5,SW,1420.1
100/12-30-080-15W6/00,south_graben,TOURMALINE OIL CORP.,2148332,57,358112,4895,5870,978,3389,6079,2015,1166,45,26,Ball and Seat ,1.3,1483.2,SW,312.1
100/05-30-080-15W6/00,south_graben,TOURMALINE OIL CORP.,2145235,57,357596,927,5861,977,3650,4457,2015,1284,49,26,Ball and Seat ,1,1305.1,SW,299.4
100/15-12-077-15W6/00,south_graben,OVINTIV CANADA ULC,2143759,63817,421110,58689,5873,1154,5861,6986,2017,3014,126,24,Plug and Perf,1.4,4232,SW,737.3
100/02-10-077-17W6/00,south_graben,TOURMALINE OIL CORP.,2142166,0,357028,0,5869,978,3931,6542,2014,1123,47,24,Ball and Seat ,1.3,1408.9,SW,379.2
103/13-04-079-17W6/00,south_graben,OVINTIV CANADA ULC,2138720,2555,359008,31050,5860,984,4488,5904,2015,1981,117,17,Plug and Perf,1.4,2833.8,SW,762.3
102/08-03-080-18W6/00,south_graben,SHELL CANADA LIMITED,2137890,38,356353,43151,5857,976,5672,8023,2018,3014,55,55,Ball and Seat/Coil Tubing,0.9,2750.3,SW,242.8
